id,category,metric,value,unit,period,as_of,status,source_url,source_note
fy2025_reported_revenue,operations,Reported revenue,47.941,USD bn,FY2025,2025-12-31,reported,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0001628280-26-010047/ko-20251231.htm,2025 10-K net operating revenues
fy2025_comparable_revenue,operations,Comparable revenue,48.062,USD bn,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,Full-year non-GAAP reconciliation
fy2025_comparable_operating_income,operations,Comparable operating income,15.013,USD bn,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,Full-year non-GAAP reconciliation
fy2025_comparable_operating_margin,operations,Comparable operating margin,0.3124,decimal,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,31.24 percent
fy2025_underlying_operating_margin,operations,Underlying operating margin,0.3261,decimal,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,32.61 percent after currency and M&A effects
fy2025_da,cash_flow,Depreciation and amortization,1.050,USD bn,FY2025,2025-12-31,reported,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0001628280-26-010047/ko-20251231.htm,Statement of cash flows
fy2025_capex,cash_flow,Purchases of property plant and equipment,2.112,USD bn,FY2025,2025-12-31,reported,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0001628280-26-010047/ko-20251231.htm,Statement of cash flows
fy2025_ocf,cash_flow,Operating cash flow,7.408,USD bn,FY2025,2025-12-31,reported,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0001628280-26-010047/ko-20251231.htm,Includes fairlife contingent consideration payment
fy2025_fairlife_payment,cash_flow,Fairlife contingent consideration payment,6.069,USD bn,FY2025,2025-12-31,reported_non_gaap_adjustment,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,One-time payment excluded from normalized FCF
fy2025_adjusted_fcf,cash_flow,FCF excluding fairlife payment,11.365,USD bn,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-006642/a2025q4earningsreleaseex-9.htm,OCF minus capex plus fairlife payment
fy2025_bottling_revenue_share,operations,Bottling Investments share of revenue,0.12,decimal,FY2025,2025-12-31,reported,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0001628280-26-010047/ko-20251231.htm,12.0 percent of company revenue
fy2025_bottling_ex_ccba_share,operations,Bottling Investments share excluding CCBA,0.04,decimal,FY2025,2025-12-31,derived_from_company_disclosure,https://investors.coca-colacompany.com/about/financial-ambition,Company says revenue excluding Bottling Investments reached 96 percent excluding CCBA; residual is 4 percent
h1_2026_reported_revenue,operations,Reported revenue,25.852,USD bn,H1 2026,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Six-month statement of income
h1_2026_comparable_revenue,operations,Comparable revenue,25.844,USD bn,H1 2026,2026-07-03,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-049922/a2026q2earningsreleaseex-9.htm,Six-month non-GAAP reconciliation
h1_2026_comparable_operating_income,operations,Comparable operating income,8.168,USD bn,H1 2026,2026-07-03,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-049922/a2026q2earningsreleaseex-9.htm,Six-month non-GAAP reconciliation
h1_2026_comparable_operating_margin,operations,Comparable operating margin,0.343,decimal,H1 2026,2026-07-03,reported_non_gaap,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-049922/a2026q2earningsreleaseex-9.htm,34.3 percent; seasonal half-year figure
fy2026_guidance_organic_growth,guidance,Organic revenue growth,0.05,decimal,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Approximately 5 percent
fy2026_guidance_fx,guidance,Currency effect on comparable revenue,0.01,decimal,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Approximately 1 percent tailwind
fy2026_guidance_divestiture_midpoint,guidance,Acquisitions and divestitures revenue effect,-0.025,decimal,FY2026E,2026-07-28,midpoint_of_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Midpoint of 2 to 3 percent headwind
