scenario,label,year,revenue_usd_bn,revenue_growth,operating_margin,tax_rate,nopat_usd_bn,da_revenue_ratio,capex_revenue_ratio,delta_nwc_revenue_ratio,fcff_usd_bn,discount_years,pv_fcff_usd_bn
bear,Bear Case,2027,48.380493542,0.032,0.327,0.21,12.498132897,0.017,0.038,0,11.482142532,0.87,10.808202436
bear,Bear Case,2028,49.831908349,0.03,0.326,0.21,12.833709676,0.017,0.037,0,11.837071509,1.87,10.393935624
bear,Bear Case,2029,51.227201782,0.028,0.325,0.21,13.152584058,0.017,0.036,0,12.179267224,2.87,9.976130587
bear,Bear Case,2030,52.610336231,0.027,0.325,0.21,13.507703827,0.017,0.035,0,12.560717775,3.87,9.597555635
bear,Bear Case,2031,53.978204973,0.026,0.325,0.21,13.858904127,0.017,0.034,0,12.941274642,4.87,9.224194446
base,Base Case,2027,49.08369839,0.047,0.337,0.2,13.232965086,0.017,0.036,0,12.300374817,0.87,11.625597975
base,Base Case,2028,51.24338112,0.044,0.338,0.2,13.856210255,0.017,0.035,0,12.933829395,1.87,11.456703237
base,Base Case,2029,53.344359745,0.041,0.339,0.2,14.466990363,0.017,0.034,0,13.560136247,2.87,11.257246331
base,Base Case,2030,55.371445416,0.038,0.34,0.2,15.061033153,0.017,0.033,0,14.175090026,3.87,11.028832035
base,Base Case,2031,57.309446005,0.035,0.341,0.2,15.63401687,0.017,0.032,0,14.77437518,4.87,10.773291244
bull,Bull Case,2027,49.458740976,0.055,0.342,0.195,13.616485978,0.017,0.035,0,12.726228641,0.87,12.077342761
bull,Bull Case,2028,52.030595507,0.052,0.345,0.195,14.450197137,0.017,0.034,0,13.565677013,1.87,12.122400451
bull,Bull Case,2029,54.580094687,0.049,0.348,0.195,15.290067725,0.017,0.033,0,14.416786211,2.87,12.130846161
bull,Bull Case,2030,57.036198947,0.045,0.35,0.195,16.069949053,0.017,0.032,0,15.214406069,3.87,12.054608867
bull,Bull Case,2031,59.317646905,0.04,0.352,0.195,16.808248427,0.017,0.031,0,15.97780137,4.87,11.920394305
